"t","napoved"
1112,2378.73923372992
1113,2381.13265504881
1114,2383.52972465921
1115,2385.93044256113
1116,2388.33480875455
1117,2390.74282323949
1118,2393.15448601594
1119,2395.56979708391
1120,2397.98875644338
1121,2400.41136409437
1122,2402.83762003686
1123,2405.26752427087
1124,2407.70107679639
1125,2410.13827761343
1126,2412.57912672197
1127,2415.02362412202
1128,2417.47176981359
1129,2419.92356379667
1130,2422.37900607126
1131,2424.83809663736
1132,2427.30083549498
1133,2429.7672226441
1134,2432.23725808474
1135,2434.71094181689
1136,2437.18827384055
1137,2439.66925415572
1138,2442.1538827624
1139,2444.6421596606
1140,2447.1340848503
1141,2449.62965833152
1142,2452.12888010425
1143,2454.63175016849
1144,2457.13826852425
1145,2459.64843517151
1146,2462.16225011029
1147,2464.67971334058
1148,2467.20082486238
1149,2469.72558467569
1150,2472.25399278051
1151,2474.78604917684
1152,2477.32175386469
1153,2479.86110684405
1154,2482.40410811492
1155,2484.9507576773
1156,2487.50105553119
1157,2490.0550016766
1158,2492.61259611351
1159,2495.17383884194
1160,2497.73872986188
1161,2500.30726917333
1162,2502.87945677629
1163,2505.45529267077
1164,2508.03477685675
1165,2510.61790933425
1166,2513.20469010326
1167,2515.79511916378
1168,2518.38919651581
1169,2520.98692215936
1170,2523.58829609441
1171,2526.19331832098
1172,2528.80198883906
1173,2531.41430764865
1174,2534.03027474975
1175,2536.64989014237
1176,2539.27315382649
1177,2541.90006580213
1178,2544.53062606928
1179,2547.16483462794
1180,2549.80269147811
1181,2552.44419661979
1182,2555.08935005299
1183,2557.7381517777
1184,2560.39060179392
1185,2563.04670010165
1186,2565.70644670089
1187,2568.36984159164
1188,2571.03688477391
1189,2573.70757624768
1190,2576.38191601297
1191,2579.05990406977
1192,2581.74154041808
1193,2584.42682505791
1194,2587.11575798924
1195,2589.80833921209
1196,2592.50456872645
1197,2595.20444653232
1198,2597.9079726297
1199,2600.61514701859
1200,2603.325969699
1201,2606.04044067091
1202,2608.75855993434
1203,2611.48032748928
1204,2614.20574333573
1205,2616.93480747369
1206,2619.66751990317
1207,2622.40388062416
1208,2625.14388963665
1209,2627.88754694066
1210,2630.63485253618
1211,2633.38580642322
1212,2636.14040860176
1213,2638.89865907182
1214,2641.66055783338
1215,2644.42610488646
1216,2647.19530023106
1217,2649.96814386716
1218,2652.74463579477
1219,2655.5247760139
1220,2658.30856452454
1221,2661.09600132668
1222,2663.88708642035
1223,2666.68181980552
1224,2669.4802014822
1225,2672.2822314504
1226,2675.08790971011
1227,2677.89723626132
1228,2680.71021110405
1229,2683.5268342383
1230,2686.34710566405
1231,2689.17102538132
1232,2691.99859339009
1233,2694.82980969038
1234,2697.66467428218
1235,2700.5031871655
1236,2703.34534834032
1237,2706.19115780665
1238,2709.0406155645
1239,2711.89372161386
1240,2714.75047595473
1241,2717.61087858711
1242,2720.47492951101
1243,2723.34262872641
1244,2726.21397623333
1245,2729.08897203176
1246,2731.9676161217
1247,2734.84990850315
1248,2737.73584917611
1249,2740.62543814059
1250,2743.51867539657
1251,2746.41556094407
1252,2749.31609478308
1253,2752.2202769136
1254,2755.12810733564
1255,2758.03958604918
1256,2760.95471305424
1257,2763.87348835081
1258,2766.79591193888
1259,2769.72198381848
1260,2772.65170398958
1261,2775.58507245219
1262,2778.52208920632
1263,2781.46275425196
1264,2784.40706758911
1265,2787.35502921777
1266,2790.30663913794
1267,2793.26189734963
1268,2796.22080385282
1269,2799.18335864753
1270,2802.14956173375
1271,2805.11941311148
1272,2808.09291278072
1273,2811.07006074148
1274,2814.05085699374
1275,2817.03530153752
1276,2820.02339437281
1277,2823.01513549961
1278,2826.01052491792
1279,2829.00956262775
1280,2832.01224862908
1281,2835.01858292193
1282,2838.02856550629
1283,2841.04219638216
1284,2844.05947554954
1285,2847.08040300844
1286,2850.10497875884
1287,2853.13320280076
1288,2856.16507513419
1289,2859.20059575913
1290,2862.23976467558
1291,2865.28258188354
1292,2868.32904738302
1293,2871.37916117401
1294,2874.4329232565
1295,2877.49033363051
1296,2880.55139229604
1297,2883.61609925307
1298,2886.68445450162
1299,2889.75645804167
1300,2892.83210987324
1301,2895.91140999632
1302,2898.99435841091
1303,2902.08095511702
1304,2905.17120011463
1305,2908.26509340376
1306,2911.3626349844
1307,2914.46382485655
1308,2917.56866302021
1309,2920.67714947538
1310,2923.78928422206
1311,2926.90506726026
1312,2930.02449858997
1313,2933.14757821119
1314,2936.27430612392
1315,2939.40468232816
1316,2942.53870682392
1317,2945.67637961118
1318,2948.81770068996
1319,2951.96267006025
1320,2955.11128772205
1321,2958.26355367537
1322,2961.41946792019
1323,2964.57903045653
1324,2967.74224128437
1325,2970.90910040373
1326,2974.0796078146
1327,2977.25376351699
1328,2980.43156751088
1329,2983.61301979629
1330,2986.7981203732
1331,2989.98686924163
1332,2993.17926640157
1333,2996.37531185303
1334,2999.57500559599
1335,3002.77834763047
1336,3005.98533795645
1337,3009.19597657395
1338,3012.41026348296
1339,3015.62819868349
1340,3018.84978217552
1341,3022.07501395907
1342,3025.30389403412
1343,3028.53642240069
1344,3031.77259905877
1345,3035.01242400836
1346,3038.25589724947
1347,3041.50301878208
1348,3044.75378860621
1349,3048.00820672185
1350,3051.266273129
1351,3054.52798782766
1352,3057.79335081783
1353,3061.06236209952
1354,3064.33502167272
1355,3067.61132953742
1356,3070.89128569364
1357,3074.17489014138
1358,3077.46214288062
1359,3080.75304391137
1360,3084.04759323364
1361,3087.34579084742
1362,3090.64763675271
1363,3093.95313094951
1364,3097.26227343782
1365,3100.57506421765
1366,3103.89150328899
1367,3107.21159065183
1368,3110.53532630619
1369,3113.86271025206
1370,3117.19374248945
1371,3120.52842301834
1372,3123.86675183875
1373,3127.20872895067
1374,3130.5543543541
1375,3133.90362804904
1376,3137.25655003549
1377,3140.61312031345
1378,3143.97333888293
1379,3147.33720574392
1380,3150.70472089642
1381,3154.07588434043
1382,3157.45069607595
1383,3160.82915610299
1384,3164.21126442153
1385,3167.59702103159
1386,3170.98642593316
1387,3174.37947912624
1388,3177.77618061083
1389,3181.17653038694
1390,3184.58052845455
1391,3187.98817481368
1392,3191.39946946432
1393,3194.81441240647
1394,3198.23300364013
1395,3201.6552431653
1396,3205.08113098199
1397,3208.51066709019
1398,3211.9438514899
1399,3215.38068418112
1400,3218.82116516385
1401,3222.26529443809
1402,3225.71307200385
1403,3229.16449786111
1404,3232.61957200989
1405,3236.07829445018
1406,3239.54066518198
1407,3243.0066842053
1408,3246.47635152012
1409,3249.94966712646
1410,3253.42663102431
1411,3256.90724321367
1412,3260.39150369454
1413,3263.87941246692
1414,3267.37096953082
1415,3270.86617488623
1416,3274.36502853314
1417,3277.86753047157
1418,3281.37368070151
1419,3284.88347922297
1420,3288.39692603593
1421,3291.91402114041
1422,3295.4347645364
1423,3298.9591562239
1424,3302.48719620291
1425,3306.01888447343
1426,3309.55422103547
1427,3313.09320588901
1428,3316.63583903407
1429,3320.18212047064
1430,3323.73205019872
1431,3327.28562821831
1432,3330.84285452942
1433,3334.40372913203
1434,3337.96825202616
1435,3341.5364232118
1436,3345.10824268895
1437,3348.68371045761
1438,3352.26282651779
1439,3355.84559086948
1440,3359.43200351267
1441,3363.02206444738
1442,3366.6157736736
1443,3370.21313119133
1444,3373.81413700058
1445,3377.41879110133
1446,3381.0270934936
1447,3384.63904417738
1448,3388.25464315267
1449,3391.87389041947
1450,3395.49678597779
1451,3399.12332982761
1452,3402.75352196895
1453,3406.3873624018
1454,3410.02485112616
1455,3413.66598814203
1456,3417.31077344942
1457,3420.95920704831
1458,3424.61128893872
1459,3428.26701912064
1460,3431.92639759407
1461,3435.58942435901
1462,3439.25609941546
1463,3442.92642276343
1464,3446.6003944029
1465,3450.27801433389
1466,3453.95928255639
1467,3457.6441990704
1468,3461.33276387593
1469,3465.02497697296
1470,3468.72083836151
1471,3472.42034804157
1472,3476.12350601314
1473,3479.83031227622
1474,3483.54076683081
1475,3487.25486967692
1476,3490.97262081453
1477,3494.69402024366
1478,3498.4190679643
1479,3502.14776397645
1480,3505.88010828012
1481,3509.61610087529
1482,3513.35574176198
1483,3517.09903094017
1484,3520.84596840988
